s,ElementName,ElementOccurence,ElementType,s1,s12,s13,s14,s15,s16,s17,s2,s23,s24,s25,s26,s27,s3,s34,s35,s36,s37,s4,s45,s46,s47,s5,s56,s57,s6,s67,s7,ma1,ma2,ma3,ma4,ma5,ma6,ma7,minimum1,minimum2,minimum3,minimum4,minimum5,minimum6,minimum7,maximum1,maximum2,maximum3,maximum4,maximum5,maximum6,maximum7,Sx,Sxp,Sy,Syp,Ss,Sdelta,St,ex,enx,ecx,ecnx,ey,eny,ecy,ecny,betaxBeam,alphaxBeam,betayBeam,alphayBeam
0.0000000000000000e+00,     _BEG_,     1,      MARK,1.8588235904598946e-03,-5.1336735634869825e-07,1.1728476283556960e-08,-8.2446559147083002e-09,-3.6926678887577424e-08,6.5242712762262483e-22,-1.2317892637826011e-16,9.3606134804299164e-04,4.9605647756597925e-10,1.0522298310513472e-09,-5.5347215108497519e-09,5.0254994156189676e-22,-1.8462558985532037e-17,3.4187345920210909e-04,-8.1405312779919774e-08,5.2625676420920466e-11,-5.7484685058801139e-22,1.7554840954786808e-19,2.4183704225869246e-04,-1.8345926699465078e-10,3.4149456757537205e-22,-6.1197889621725809e-19,1.0999999999999992e-03,1.0600617334887570e-22,4.0362821916490433e-15,5.7000000000000063e-04,5.0940326055439823e-25,3.6693474469536821e-12,5.6802170200381391e-03,3.3679607795824894e-03,1.0078919478934817e-03,7.3304239005713616e-04,3.3927956582672988e-03,1.7045142921995899e-03,1.1317587822803868e-11,-5.6802170200381391e-03,-3.3679607795824894e-03,-1.0078919478934817e-03,-7.0599409157440533e-04,-3.3927956582672988e-03,-1.7045142921995899e-03,-1.1317587822803868e-11,5.4947457853802232e-03,3.0008249149886352e-03,1.0038804601943936e-03,7.3304239005713616e-04,3.3801555637235879e-03,1.6646023185919589e-03,1.1275422410543757e-11,1.8588235904598946e-03,9.3606134804299164e-04,3.4187345920210909e-04,2.4183704225869246e-04,1.0999999999999992e-03,5.7000000000000063e-04,3.6693474469536821e-12,1.6625160767228414e-06,1.8870080201306987e-04,1.6625160767228414e-06,1.8870080201306987e-04,1.4448928663149414e-08,1.6399988337799802e-06,1.4448928663149414e-08,1.6399988337799802e-06,2.0783108138485900e+00,3.0878940873801963e-01,8.0890054087470684e+00,5.6340033699201584e+00
5.4100000000000007e-03,        D1,     1,      DRIF,1.8573357668125656e-03,-5.0862705566480491e-07,1.1686587157369938e-08,-8.2389633513223120e-09,-3.6956495744690541e-08,6.5630230335631325e-22,-1.2327838856897493e-16,9.3606134804299164e-04,5.0174904095196713e-10,1.0522298310513472e-09,-5.5347372905768596e-09,5.0254994156189676e-22,-1.8462611612582924e-17,3.4058533199758141e-04,-8.1088908091324157e-08,5.1639767628748155e-11,-5.7288014596360539e-22,1.7225963556850396e-19,2.4183704225869246e-04,-1.8346337440293203e-10,3.4149456757537205e-22,-6.1199259473043114e-19,1.1000000760497666e-03,-1.6491659510619935e-14,4.0362827497510013e-15,5.7000000000000063e-04,-5.0960042343642976e-22,3.6693477006346036e-12,5.6758385544689993e-03,3.3679607795824894e-03,1.0039711504568932e-03,7.3304239005713616e-04,3.3927947000616581e-03,1.7045142921995899e-03,1.1317583889347309e-11,-5.6758385544689993e-03,-3.3679607795824894e-03,-1.0039711504568932e-03,-7.0599409157440533e-04,-3.3927947000616581e-03,-1.7045142921995899e-03,-1.1317583889347309e-11,5.4921145951887622e-03,3.0008249149886352e-03,1.0005794125182567e-03,7.3304239005713616e-04,3.3801531058094084e-03,1.6646023185919589e-03,1.1275413416602291e-11,1.8573357668125656e-03,9.3606134804299164e-04,3.4058533199758141e-04,2.4183704225869246e-04,1.1000000760497666e-03,5.7000000000000063e-04,3.6693477006346036e-12,1.6625160767228417e-06,1.8870080201306989e-04,1.6625160767228417e-06,1.8870080201306989e-04,1.4448928663149414e-08,1.6399988337799802e-06,1.4448928663149414e-08,1.6399988337799802e-06,2.0749851378768476e+00,3.0593812762846334e-01,8.0281639612316233e+00,5.6121052281290256e+00
1.0820000000000001e-02,        D1,     2,      DRIF,1.8558605688374402e-03,-5.0388675498091156e-07,1.1644759624718751e-08,-8.2332707879363255e-09,-3.6986312772540282e-08,6.5928809449538466e-22,-1.2337785132911450e-16,9.3606134804299164e-04,5.0744160433795470e-10,1.0522298310513472e-09,-5.5347530703039781e-09,5.0254994156189676e-22,-1.8462664239633918e-17,3.3929735945880849e-04,-8.0772503402728540e-08,5.0653814394418753e-11,-5.7092667622900010e-22,1.6897071337124147e-19,2.4183704225869246e-04,-1.8346748181121649e-10,3.4149456757537205e-22,-6.1200629324361218e-19,1.1000001521093291e-03,-3.2983319126144902e-14,4.0362833079249254e-15,5.7000000000000063e-04,-1.0197102501808638e-21,3.6693479543484145e-12,5.6714600888998594e-03,3.3679607795824894e-03,1.0000503530203048e-03,7.3304239005713616e-04,3.3927937418560174e-03,1.7045142921995899e-03,1.1317579955890744e-11,-5.6714600888998594e-03,-3.3679607795824894e-03,-1.0000503530203048e-03,-7.0599409157440533e-04,-3.3927937418560174e-03,-1.7045142921995899e-03,-1.1317579955890744e-11,5.4894834049973012e-03,3.0008249149886352e-03,9.9727836484211972e-04,7.3304239005713616e-04,3.3801506478952290e-03,1.6646023185919589e-03,1.1275404422660828e-11,1.8558605688374402e-03,9.3606134804299164e-04,3.3929735945880849e-04,2.4183704225869246e-04,1.1000001521093291e-03,5.7000000000000063e-04,3.6693479543484145e-12,1.6625160767228414e-06,1.8870080201306987e-04,1.6625160767228414e-06,1.8870080201306987e-04,1.4448928663149388e-08,1.6399988337799770e-06,1.4448928663149388e-08,1.6399988337799770e-06,2.0716903127667101e+00,3.0308684651890716e-01,7.9675594516103709e+00,5.5902070863379025e+00
1.6230000000000001e-02,        D1,     3,      DRIF,1.8543980266661831e-03,-4.9914645429701832e-07,1.1602993685603404e-08,-8.2275782245503373e-09,-3.7016129971126672e-08,6.6235858892918149e-22,-1.2347731465867865e-16,9.3606134804299164e-04,5.1313416772394299e-10,1.0522298310513472e-09,-5.5347688500310933e-09,5.0254994156189676e-22,-1.8462716866684697e-17,3.3800954335383443e-04,-8.0456098714132909e-08,4.9667816717934224e-11,-5.6899702929603638e-22,1.6568164295604367e-19,2.4183704225869246e-04,-1.8347158921949950e-10,3.4149456757537205e-22,-6.1201999175677116e-19,1.1000002281786865e-03,-4.9474978722368106e-14,4.0362838661708190e-15,5.7000000000000063e-04,-1.5298200768004607e-21,3.6693482080951163e-12,5.6670816233307195e-03,3.3679607795824894e-03,9.9612955558371630e-04,7.3304239005713616e-04,3.3927927836503793e-03,1.7045142921995899e-03,1.1317576022434188e-11,-5.6670816233307195e-03,-3.3679607795824894e-03,-9.9612955558371630e-04,-7.0599409157440533e-04,-3.3927927836503793e-03,-1.7045142921995899e-03,-1.1317576022434188e-11,5.4868522148058402e-03,3.0008249149886352e-03,9.9397731716598277e-04,7.3304239005713616e-04,3.3801481899810477e-03,1.6646023185919589e-03,1.1275395428719352e-11,1.8543980266661831e-03,9.3606134804299164e-04,3.3800954335383443e-04,2.4183704225869246e-04,1.1000002281786865e-03,5.7000000000000063e-04,3.6693482080951163e-12,1.6625160767228412e-06,1.8870080201306984e-04,1.6625160767228412e-06,1.8870080201306984e-04,1.4448928663149443e-08,1.6399988337799834e-06,1.4448928663149443e-08,1.6399988337799834e-06,2.0684263385181785e+00,3.0023556540935109e-01,7.9071918798832543e+00,5.5683089445467466e+00
2.1640000000000003e-02,        D1,     4,      DRIF,1.8529481702666808e-03,-4.9440615361312497e-07,1.1561289340023890e-08,-8.2218856611643474e-09,-3.7045947340449686e-08,6.6689021519699206e-22,-1.2357677855766752e-16,9.3606134804299164e-04,5.1882673110993139e-10,1.0522298310513472e-09,-5.5347846297582068e-09,5.0254994156189676e-22,-1.8462769493735781e-17,3.3672188547753483e-04,-8.0139694025537292e-08,4.8681774599289378e-11,-5.6749354581466002e-22,1.6239242432295079e-19,2.4183704225869246e-04,-1.8347569662778295e-10,3.4149456757537205e-22,-6.1203369026995788e-19,1.1000003042578395e-03,-6.5966638317648988e-14,4.0362844244886826e-15,5.7000000000000063e-04,-2.0399299034069232e-21,3.6693484618747082e-12,5.6627031577615797e-03,3.3679607795824894e-03,9.9220875814712783e-04,7.3304239005713616e-04,3.3927918254447360e-03,1.7045142921995899e-03,1.1317572088977634e-11,-5.6627031577615797e-03,-3.3679607795824894e-03,-9.9220875814712783e-04,-7.0599409157440533e-04,-3.3927918254447360e-03,-1.7045142921995899e-03,-1.1317572088977634e-11,5.4842210246143792e-03,3.0008249149886352e-03,9.9067626948984582e-04,7.3304239005713616e-04,3.3801457320668700e-03,1.6646023185919589e-03,1.1275386434777876e-11,1.8529481702666808e-03,9.3606134804299164e-04,3.3672188547753483e-04,2.4183704225869246e-04,1.1000003042578395e-03,5.7000000000000063e-04,3.6693484618747082e-12,1.6625160767228414e-06,1.8870080201306987e-04,1.6625160767228414e-06,1.8870080201306987e-04,1.4448928663149414e-08,1.6399988337799802e-06,1.4448928663149414e-08,1.6399988337799802e-06,2.0651932151312522e+00,2.9738428429979480e-01,7.8470612460503641e+00,5.5464108027556245e+00
2.7050000000000005e-02,        D1,     5,      DRIF,1.8515110294403450e-03,-4.8966585292923152e-07,1.1519646587980213e-08,-8.2161930977783609e-09,-3.7075764880509355e-08,6.7222652276469413e-22,-1.2367624302608089e-16,9.3606134804299164e-04,5.2451929449591916e-10,1.0522298310513472e-09,-5.5348004094853236e-09,5.0254994156189676e-22,-1.8462822120786627e-17,3.3543438765212352e-04,-7.9823289336941675e-08,4.7695688038488617e-11,-5.6544743185144883e-22,1.5910305747198267e-19,2.4183704225869246e-04,-1.8347980403606692e-10,3.4149456757537205e-22,-6.1204738878315095e-19,1.1000003803467871e-03,-8.2458297907921782e-14,4.0362849828785109e-15,5.7000000000000063e-04,-2.5500397300038007e-21,3.6693487156871895e-12,5.6583246921924398e-03,3.3679607795824894e-03,9.8828796071053935e-04,7.3304239005713616e-04,3.3927908672390962e-03,1.7045142921995899e-03,1.1317568155521081e-11,-5.6583246921924398e-03,-3.3679607795824894e-03,-9.8828796071053935e-04,-7.0599409157440533e-04,-3.3927908672390962e-03,-1.7045142921995899e-03,-1.1317568155521081e-11,5.4815898344229182e-03,3.0008249149886352e-03,9.8737522181370887e-04,7.3304239005713616e-04,3.3801432741526888e-03,1.6646023185919589e-03,1.1275377440836433e-11,1.8515110294403450e-03,9.3606134804299164e-04,3.3543438765212352e-04,2.4183704225869246e-04,1.1000003803467871e-03,5.7000000000000063e-04,3.6693487156871895e-12,1.6625160767228417e-06,1.8870080201306989e-04,1.6625160767228417e-06,1.8870080201306989e-04,1.4448928663149414e-08,1.6399988337799802e-06,1.4448928663149414e-08,1.6399988337799802e-06,2.0619909426059309e+00,2.9453300319023851e-01,7.7871675501116391e+00,5.5245126609644908e+00
3.2460000000000003e-02,        D1,     6,      DRIF,1.8500866338194142e-03,-4.8492555224533828e-07,1.1478065429472372e-08,-8.2105005343923727e-09,-3.7105582591305793e-08,6.7631345673519610e-22,-1.2377570806391933e-16,9.3606134804299164e-04,5.3021185788190694e-10,1.0522298310513472e-09,-5.5348161892124032e-09,5.0254994156189676e-22,-1.8462874747837406e-17,3.3414705172767073e-04,-7.9506884648346045e-08,4.6709557035541795e-11,-5.6322926432082662e-22,1.5581354240311617e-19,2.4183704225869246e-04,-1.8348391144435712e-10,3.4149456757537205e-22,-6.1206108729636830e-19,1.1000004564455294e-03,-9.8949957502842672e-14,4.0362855413403054e-15,5.7000000000000063e-04,-3.0601495567069380e-21,3.6693489695325592e-12,5.6539462266233000e-03,3.3679607795824894e-03,9.8436716327395088e-04,7.3304239005713616e-04,3.3927899090334564e-03,1.7045142921995899e-03,1.1317564222064502e-11,-5.6539462266233000e-03,-3.3679607795824894e-03,-9.8436716327395088e-04,-7.0599409157440533e-04,-3.3927899090334564e-03,-1.7045142921995899e-03,-1.1317564222064502e-11,5.4789586442314572e-03,3.0008249149886352e-03,9.8407417413757191e-04,7.3304239005713616e-04,3.3801408162385041e-03,1.6646023185919589e-03,1.1275368446894950e-11,1.8500866338194142e-03,9.3606134804299164e-04,3.3414705172767073e-04,2.4183704225869246e-04,1.1000004564455294e-03,5.7000000000000063e-04,3.6693489695325592e-12,1.6625160767228414e-06,1.8870080201306987e-04,1.6625160767228414e-06,1.8870080201306987e-04,1.4448928663149469e-08,1.6399988337799863e-06,1.4448928663149469e-08,1.6399988337799863e-06,2.0588195209422153e+00,2.9168172208068238e-01,7.7275107920670640e+00,5.5026145191733358e+00
3.7870000000000001e-02,        D1,     7,      DRIF,1.8486750128642560e-03,-4.8018525156144493e-07,1.1436545864500367e-08,-8.2048079710063845e-09,-3.7135400472838802e-08,6.7898161051904713e-22,-1.2387517367118225e-16,9.3606134804299164e-04,5.3590442126789523e-10,1.0522298310513472e-09,-5.5348319689395117e-09,5.0254994156189676e-22,-1.8462927374888382e-17,3.3285987958263288e-04,-7.9190479959750428e-08,4.5723381590442896e-11,-5.6147696491119433e-22,1.5252387911630055e-19,2.4183704225869246e-04,-1.8348801885265256e-10,3.4149456757537205e-22,-6.1207478580955473e-19,1.1000005325540667e-03,-1.1544161711590065e-13,4.0362860998740677e-15,5.7000000000000063e-04,-3.5702593835708845e-21,3.6693492234108191e-12,5.6495677610541601e-03,3.3679607795824894e-03,9.8077312646143496e-04,7.3304239005713616e-04,3.3927889508278131e-03,1.7045142921995899e-03,1.1317560288607923e-11,-5.6495677610541601e-03,-3.3679607795824894e-03,-9.8044636583736241e-04,-7.0599409157440533e-04,-3.3927889508278131e-03,-1.7045142921995899e-03,-1.1317560288607923e-11,5.4763274540399962e-03,3.0008249149886352e-03,9.8077312646143496e-04,7.3304239005713616e-04,3.3801383583243194e-03,1.6646023185919589e-03,1.1275359452953481e-11,1.8486750128642560e-03,9.3606134804299164e-04,3.3285987958263288e-04,2.4183704225869246e-04,1.1000005325540667e-03,5.7000000000000063e-04,3.6693492234108191e-12,1.6625160767228417e-06,1.8870080201306989e-04,1.6625160767228417e-06,1.8870080201306989e-04,1.4448928663149443e-08,1.6399988337799834e-06,1.4448928663149443e-08,1.6399988337799834e-06,2.0556789501401052e+00,2.8883044097112615e-01,7.6680909719167119e+00,5.4807163773822127e+00
4.3279999999999999e-02,        D1,     8,      DRIF,1.8472761958606683e-03,-4.7544495087755158e-07,1.1395087893064200e-08,-8.1991154076203963e-09,-3.7165218525108446e-08,6.8330147855004406e-22,-1.2397463984787047e-16,9.3606134804299164e-04,5.4159698465388331e-10,1.0522298310513472e-09,-5.5348477486666153e-09,5.0254994156189676e-22,-1.8462980001939160e-17,3.3157287312439421e-04,-7.8874075271154810e-08,4.4737161703189969e-11,-5.5917277059686658e-22,1.4923406761160693e-19,2.4183704225869246e-04,-1.8349212626094979e-10,3.4149456757537205e-22,-6.1208848432274347e-19,1.1000006086723997e-03,-1.3193327673677252e-13,4.0362866584798001e-15,5.7000000000000063e-04,-4.0803692100689968e-21,3.6693494773219699e-12,5.6451892954850202e-03,3.3679607795824894e-03,9.7747207878529801e-04,7.3304239005713616e-04,3.3927879926221732e-03,1.7045142921995899e-03,1.1317556355151370e-11,-5.6451892954850202e-03,-3.3679607795824894e-03,-9.7652556840077394e-04,-7.0599409157440533e-04,-3.3927879926221732e-03,-1.7045142921995899e-03,-1.1317556355151370e-11,5.4736962638485352e-03,3.0008249149886352e-03,9.7747207878529801e-04,7.3304239005713616e-04,3.3801359004101347e-03,1.6646023185919589e-03,1.1275350459011986e-11,1.8472761958606683e-03,9.3606134804299164e-04,3.3157287312439421e-04,2.4183704225869246e-04,1.1000006086723997e-03,5.7000000000000063e-04,3.6693494773219699e-12,1.6625160767228414e-06,1.8870080201306987e-04,1.6625160767228414e-06,1.8870080201306987e-04,1.4448928663149414e-08,1.6399988337799802e-06,1.4448928663149414e-08,1.6399988337799802e-06,2.0525692301995999e+00,2.8597915986156996e-01,7.6089080896605408e+00,5.4588182355910897e+00
4.8689999999999997e-02,        D1,     9,      DRIF,1.8458902119171841e-03,-4.7070465019365818e-07,1.1353691515163870e-08,-8.1934228442344081e-09,-3.7195036748114734e-08,6.8721900593109519e-22,-1.2407410659398214e-16,9.3606134804299164e-04,5.4728954803987068e-10,1.0522298310513472e-09,-5.5348635283937214e-09,5.0254994156189676e-22,-1.8463032628989988e-17,3.3028603428982136e-04,-7.8557670582559180e-08,4.3750897373779756e-11,-5.5741782420927412e-22,1.4594410788902279e-19,2.4183704225869246e-04,-1.8349623366924692e-10,3.4149456757537205e-22,-6.1210218283596562e-19,1.1000006848005273e-03,-1.4842493635514562e-13,4.0362872171575011e-15,5.7000000000000063e-04,-4.5904790367619974e-21,3.6693497312660108e-12,5.6408108299158804e-03,3.3679607795824894e-03,9.7417103110916106e-04,7.3304239005713616e-04,3.3927870344165265e-03,1.7045142921995899e-03,1.1317552421694791e-11,-5.6408108299158804e-03,-3.3679607795824894e-03,-9.7260477096418546e-04,-7.0599409157440533e-04,-3.3927870344165265e-03,-1.7045142921995899e-03,-1.1317552421694791e-11,5.4710650736570741e-03,3.0008249149886352e-03,9.7417103110916106e-04,7.3304239005713616e-04,3.3801334424959570e-03,1.6646023185919589e-03,1.1275341465070516e-11,1.8458902119171841e-03,9.3606134804299164e-04,3.3028603428982136e-04,2.4183704225869246e-04,1.1000006848005273e-03,5.7000000000000063e-04,3.6693497312660108e-12,1.6625160767228417e-06,1.8870080201306989e-04,1.6625160767228417e-06,1.8870080201306989e-04,1.4448928663149443e-08,1.6399988337799834e-06,1.4448928663149443e-08,1.6399988337799834e-06,2.0494903611207005e+00,2.8312787875201367e-01,7.5499621452985206e+00,5.4369200937999453e+00
